Date,Close
2020-01-02,68.1868
2020-01-03,67.8302
2020-01-06,69.6381
2020-01-07,69.5035
2020-01-08,69.9983
2020-01-09,70.733
2020-01-10,71.1899
2020-01-13,71.7415
2020-01-14,71.2711
2020-01-15,71.7
2020-01-16,72.2461
2020-01-17,73.7088
2020-01-21,73.8448
2020-01-22,73.9405
2020-01-23,73.9663
2020-01-24,73.0438
2020-01-27,71.3279
2020-01-28,72.2631
2020-01-29,72.5719
2020-01-30,72.4499
2020-01-31,71.3803
2020-02-03,73.8622
2020-02-04,72.0094
2020-02-05,72.0413
2020-02-06,73.5319
2020-02-07,73.6883
2020-02-10,75.1606
2020-02-11,75.2303
2020-02-12,75.6573
2020-02-13,75.3962
2020-02-14,75.6622
2020-02-18,75.6975
2020-02-19,75.9681
2020-02-20,75.5755
2020-02-21,73.9051
2020-02-24,70.7365
2020-02-25,69.0655
2020-02-26,69.2724
2020-02-27,65.51
2020-02-28,66.7206
2020-03-02,69.0655
2020-03-03,66.6444
2020-03-04,68.8305
2020-03-05,65.5005
2020-03-06,64.5529
2020-03-09,60.5699
2020-03-10,63.5282
2020-03-11,60.3264
2020-03-12,55.3767
2020-03-13,60.4942
2020-03-16,53.4562
2020-03-17,55.7011
2020-03-18,54.3625
2020-03-19,55.3827
2020-03-20,53.2176
2020-03-23,52.5161
2020-03-24,56.2964
2020-03-25,54.8821
2020-03-26,57.9359
2020-03-27,55.3125
2020-03-30,57.1084
2020-03-31,57.8877
2020-04-01,54.906
2020-04-02,55.6498
2020-04-03,54.4377
2020-04-06,58.9458
2020-04-07,58.9144
2020-04-08,60.132
2020-04-09,60.1105
2020-04-13,60.3019
2020-04-14,63.0331
2020-04-15,62.6379
2020-04-16,62.6444
2020-04-17,63.7191
2020-04-20,62.8297
2020-04-21,60.3891
2020-04-22,62.6932
2020-04-23,63.3289
2020-04-24,63.5994
2020-04-27,63.3135
2020-04-28,61.4068
2020-04-29,66.8667
2020-04-30,67.0918
2020-05-01,65.6281
2020-05-04,65.9061
2020-05-05,67.2074
2020-05-06,67.0286
2020-05-07,68.2167
2020-05-08,68.9671
2020-05-11,69.926
2020-05-12,68.5107
2020-05-13,67.173
2020-05-14,67.5979
2020-05-15,68.405
2020-05-18,69.0088
2020-05-19,68.4717
2020-05-20,70.2034
2020-05-21,70.0835
2020-05-22,70.4068
2020-05-26,70.8117
2020-05-27,70.7575
2020-05-28,70.6558
2020-05-29,71.4171
2020-06-01,71.4844
2020-06-02,71.8549
2020-06-03,71.7025
2020-06-04,70.4595
2020-06-05,71.741
2020-06-08,72.1405
2020-06-09,72.3418
2020-06-10,72.9705
2020-06-11,69.8418
2020-06-12,70.3908
2020-06-15,70.7805
2020-06-16,72.0623
2020-06-17,72.3647
2020-06-18,71.447
2020-06-19,70.9747
2020-06-22,72.271
2020-06-23,72.9346
2020-06-24,71.3763
2020-06-25,71.7947
2020-06-26,67.8809
2020-06-29,69.6061
2020-06-30,70.6463
2020-07-01,71.8396
2020-07-02,73.231
2020-07-06,74.7116
2020-07-07,74.2269
2020-07-08,74.9084
2020-07-09,75.6588
2020-07-10,76.6725
2020-07-13,75.3384
2020-07-14,75.7683
2020-07-15,75.5701
2020-07-16,75.4724
2020-07-17,75.5686
2020-07-20,77.9096
2020-07-21,77.515
2020-07-22,77.9599
2020-07-23,75.5636
2020-07-24,75.1381
2020-07-27,76.1953
2020-07-28,74.9109
2020-07-29,75.9004
2020-07-30,76.6407
2020-07-31,74.1287
2020-08-03,73.8702
2020-08-04,73.399
2020-08-05,73.6873
2020-08-06,74.9757
2020-08-07,74.6478
2020-08-10,74.5706
2020-08-11,73.7596
2020-08-12,75.0897
2020-08-13,75.5586
2020-08-14,74.9598
2020-08-17,75.5381
2020-08-18,77.508
2020-08-19,76.9516
2020-08-20,78.5278
2020-08-21,78.4939
2020-08-24,78.9712
2020-08-25,80.0025
2020-08-26,81.9096
2020-08-27,81.1319
2020-08-28,81.6754
2020-08-31,81.1823
2020-09-01,82.4551
2020-09-02,85.5593
2020-09-03,81.1813
2020-09-04,78.7749
2020-09-08,75.9049
2020-09-09,77.0821
2020-09-10,76.0269
2020-09-11,75.5143
2020-09-14,75.169
2020-09-15,76.4788
2020-09-16,75.3314
2020-09-17,74.0835
2020-09-18,72.2924
2020-09-21,71.2486
2020-09-22,72.7273
2020-09-23,70.2149
2020-09-24,70.886
2020-09-25,71.6931
2020-09-28,72.6696
2020-09-29,73.0363
2020-09-30,73.0153
2020-10-01,74.1262
2020-10-02,72.5172
2020-10-05,73.8737
2020-10-06,72.289
2020-10-07,72.6935
2020-10-08,73.9036
2020-10-09,75.2497
2020-10-12,77.9469
2020-10-13,78.0705
2020-10-14,77.8896
2020-10-15,77.4926
2020-10-16,78.1018
2020-10-19,76.2211
2020-10-20,77.2738
2020-10-21,79.013
2020-10-22,80.0429
2020-10-23,81.3541
2020-10-26,78.9283
2020-10-27,79.6553
2020-10-28,75.2671
2020-10-29,77.5629
2020-10-30,80.5136
2020-11-02,80.9227
2020-11-03,81.9858
2020-11-04,86.9772
2020-11-05,87.8068
2020-11-06,87.6686
2020-11-09,87.7528
2020-11-10,86.5722
2020-11-11,87.0459
2020-11-12,86.8263
2020-11-13,88.2929
2020-11-16,88.3811
2020-11-17,87.7648
2020-11-18,86.7176
2020-11-19,87.6109
2020-11-20,86.5055
2020-11-23,86.0661
2020-11-24,87.8765
2020-11-25,87.8879
2020-11-27,89.0283
2020-11-30,87.4031
2020-12-01,89.4438
2020-12-02,90.9189
2020-12-03,90.763
2020-12-04,90.8587
2020-12-07,90.5233
2020-12-08,90.2394
2020-12-09,88.5719
2020-12-10,88.0633
2020-12-11,88.4195
2020-12-14,87.2966
2020-12-15,87.7359
2020-12-16,87.5422
2020-12-17,86.7111
2020-12-18,85.9993
2020-12-21,86.4148
2020-12-22,85.7003
2020-12-23,86.0993
2020-12-24,86.3948
2020-12-28,88.3776
2020-12-29,87.5705
2020-12-30,86.499
2020-12-31,87.3154
2021-01-04,85.9948
2021-01-05,86.6882
2021-01-06,85.8328
2021-01-07,88.3966
2021-01-08,89.5668
2021-01-11,87.4973
2021-01-12,86.5577
2021-01-13,87.0469
2021-01-14,86.2334
2021-01-15,86.0691
2021-01-19,88.9012
2021-01-20,93.664
2021-01-21,93.8672
2021-01-22,94.2861
2021-01-25,94.3718
2021-01-26,95.0529
2021-01-27,90.6184
2021-01-28,92.3253
2021-01-29,91.0381
2021-02-01,94.3116
2021-02-02,95.6094
2021-02-03,102.572
2021-02-04,102.311
2021-02-05,104.064
2021-02-08,103.85
2021-02-09,103.396
2021-02-10,103.947
2021-02-11,104.061
2021-02-12,104.373
2021-02-16,105.153
2021-02-17,105.549
2021-02-18,104.91
2021-02-19,104.063
2021-02-22,102.342
2021-02-23,102.634
2021-02-24,103.814
2021-02-25,100.434
2021-02-26,100.731
2021-03-01,103.109
2021-03-02,102.851
2021-03-03,100.208
2021-03-04,101.328
2021-03-05,104.475
2021-03-08,100.012
2021-03-09,101.65
2021-03-10,101.442
2021-03-11,104.648
2021-03-12,102.129
2021-03-15,102.351
2021-03-16,103.818
2021-03-17,103.735
2021-03-18,100.702
2021-03-19,100.982
2021-03-22,101.169
2021-03-23,101.697
2021-03-24,101.258
2021-03-25,101.255
2021-03-26,100.87
2021-03-29,101.921
2021-03-30,101.955
2021-03-31,102.753
2021-04-01,106.104
2021-04-05,110.547
2021-04-06,110.064
2021-04-07,111.548
2021-04-08,112.115
2021-04-09,113.124
2021-04-12,111.825
2021-04-13,112.314
2021-04-14,111.69
2021-04-15,113.85
2021-04-16,113.726
2021-04-19,114.074
2021-04-20,113.538
2021-04-21,113.505
2021-04-22,112.219
2021-04-23,114.581
2021-04-26,115.079
2021-04-27,114.135
2021-04-28,117.526
2021-04-29,119.206
2021-04-30,117.25
2021-05-03,116.731
2021-05-04,114.925
2021-05-05,115.32
2021-05-06,116.445
2021-05-07,117.171
2021-05-10,114.174
2021-05-11,113.093
2021-05-12,109.614
2021-05-13,111.049
2021-05-14,113.507
2021-05-17,114.033
2021-05-18,112.715
2021-05-19,113.165
2021-05-20,114.931
2021-05-21,114.292
2021-05-24,117.626
2021-05-25,117.717
2021-05-26,118.586
2021-05-27,117.708
2021-05-28,117.416
2021-06-01,118.629
2021-06-02,118.102
2021-06-03,116.955
2021-06-04,119.247
2021-06-07,119.681
2021-06-08,119.489
2021-06-09,119.963
2021-06-10,121.316
2021-06-11,121.071
2021-06-14,122.004
2021-06-15,120.981
2021-06-16,120.336
2021-06-17,121.304
2021-06-18,119.677
2021-06-21,121.372
2021-06-22,121.888
2021-06-23,121.686
2021-06-24,122.058
2021-06-25,122.066
2021-06-28,122.094
2021-06-29,121.83
2021-06-30,121.649
2021-07-01,122.002
2021-07-02,124.805
2021-07-06,125.734
2021-07-07,126.018
2021-07-08,124.592
2021-07-09,125.065
2021-07-12,126.517
2021-07-13,126.882
2021-07-14,127.774
2021-07-15,126.546
2021-07-16,126.511
2021-07-19,124.128
2021-07-20,125.754
2021-07-21,127.088
2021-07-22,127.957
2021-07-23,132.535
2021-07-26,133.551
2021-07-27,131.423
2021-07-28,135.603
2021-07-29,135.287
2021-07-30,134.241
2021-08-02,134.366
2021-08-03,135.14
2021-08-04,134.638
2021-08-05,135.76
2021-08-06,135.247
2021-08-09,136.419
2021-08-10,136.313
2021-08-11,135.787
2021-08-12,136.698
2021-08-13,137.231
